,Date,ZoneID,mean,sum,count
228,20150606,1,0.0,0.0,2
229,20150606,2,0.0,0.0,4
230,20150606,3,0.0,0.0,8
231,20150606,4,0.0,0.0,3
232,20150606,5,,,0
233,20150606,6,0.0,0.0,17
234,20150530,1,0.0,0.0,2
235,20150530,2,0.0,0.0,4
236,20150530,3,0.0,0.0,8
237,20150530,4,0.0,0.0,3
238,20150530,5,,,0
239,20150530,6,0.0,0.0,17
240,20150409,1,0.0,0.0,2
241,20150409,2,0.0,0.0,4
242,20150409,3,0.0,0.0,8
243,20150409,4,0.0,0.0,3
244,20150409,5,,,0
245,20150409,6,0.0,0.0,17
246,20131202,1,0.0,0.0,2
247,20131202,2,0.0,0.0,4
248,20131202,3,0.0,0.0,8
249,20131202,4,0.0,0.0,3
250,20131202,5,,,0
251,20131202,6,0.0,0.0,17
252,20150711,1,0.0,0.0,2
253,20150711,2,0.0,0.0,4
254,20150711,3,0.0,0.0,8
255,20150711,4,0.0,0.0,3
256,20150711,5,,,0
257,20150711,6,0.0,0.0,17
258,20130310,1,138.5,277.0,2
259,20130310,2,152.25,609.0,4
260,20130310,3,158.0,1264.0,8
261,20130310,4,165.0,495.0,3
262,20130310,5,,,0
263,20130310,6,155.58823529411765,2645.0,17
264,20110317,1,107.5,215.0,2
265,20110317,2,135.5,542.0,4
266,20110317,3,140.0,1120.0,8
267,20110317,4,135.33333333333334,406.0,3
268,20110317,5,,,0
269,20110317,6,134.2941176470588,2283.0,17
270,20090529,1,0.0,0.0,2
271,20090529,2,0.0,0.0,4
272,20090529,3,0.0,0.0,8
273,20090529,4,0.0,0.0,3
274,20090529,5,,,0
275,20090529,6,0.0,0.0,17
276,20190408,1,0.0,0.0,2
277,20190408,2,43.75,175.0,4
278,20190408,3,26.25,210.0,8
279,20190408,4,135.33333333333334,406.0,3
280,20190408,5,,,0
281,20190408,6,46.529411764705884,791.0,17
282,20101227,1,0.0,0.0,2
283,20101227,2,0.0,0.0,4
284,20101227,3,0.0,0.0,8
285,20101227,4,0.0,0.0,3
286,20101227,5,,,0
287,20101227,6,0.0,0.0,17
288,20100221,1,0.0,0.0,2
289,20100221,2,48.75,195.0,4
290,20100221,3,43.375,347.0,8
291,20100221,4,63.666666666666664,191.0,3
292,20100221,5,,,0
293,20100221,6,43.11764705882353,733.0,17
294,20160815,1,0.0,0.0,2
295,20160815,2,0.0,0.0,4
296,20160815,3,0.0,0.0,8
297,20160815,4,0.0,0.0,3
298,20160815,5,,,0
299,20160815,6,0.0,0.0,17
300,20180311,1,0.0,0.0,2
301,20180311,2,0.0,0.0,4
302,20180311,3,0.0,0.0,8
303,20180311,4,0.0,0.0,3
304,20180311,5,,,0
305,20180311,6,0.0,0.0,17
306,20160903,1,0.0,0.0,2
307,20160903,2,0.0,0.0,4
308,20160903,3,0.0,0.0,8
309,20160903,4,0.0,0.0,3
310,20160903,5,,,0
311,20160903,6,0.0,0.0,17
312,20140825,1,0.0,0.0,2
313,20140825,2,0.0,0.0,4
314,20140825,3,0.0,0.0,8
315,20140825,4,0.0,0.0,3
316,20140825,5,,,0
317,20140825,6,0.0,0.0,17
318,20110625,1,0.0,0.0,2
319,20110625,2,0.0,0.0,4
320,20110625,3,0.0,0.0,8
321,20110625,4,0.0,0.0,3
322,20110625,5,,,0
323,20110625,6,0.0,0.0,17
324,20151021,1,0.0,0.0,2
325,20151021,2,0.0,0.0,4
326,20151021,3,0.0,0.0,8
327,20151021,4,0.0,0.0,3
328,20151021,5,,,0
329,20151021,6,0.0,0.0,17
330,20121012,1,0.0,0.0,2
331,20121012,2,0.0,0.0,4
332,20121012,3,0.0,0.0,8
333,20121012,4,0.0,0.0,3
334,20121012,5,,,0
335,20121012,6,0.0,0.0,17
336,20160521,1,0.0,0.0,2
337,20160521,2,0.0,0.0,4
338,20160521,3,0.0,0.0,8
339,20160521,4,0.0,0.0,3
340,20160521,5,,,0
341,20160521,6,0.0,0.0,17
342,20170214,1,139.0,278.0,2
343,20170214,2,143.75,575.0,4
344,20170214,3,142.5,1140.0,8
345,20170214,4,135.0,405.0,3
346,20170214,5,,,0
347,20170214,6,141.05882352941177,2398.0,17
348,20130827,1,0.0,0.0,2
349,20130827,2,0.0,0.0,4
350,20130827,3,0.0,0.0,8
351,20130827,4,0.0,0.0,3
352,20130827,5,,,0
353,20130827,6,0.0,0.0,17
354,20130223,1,61.0,122.0,2
355,20130223,2,128.0,512.0,4
