Day,2014,2015,2016,2017,2018
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.030612244897959183,0.0,0.0,
04-02,0.0,0.0,,0.0,
,0.0,0.10204081632653061,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
02-17,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.02040816326530612,0.0,0.0,
07-02,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
01-07,0.0,0.0,0.0,0.0,
,0.10204081632653061,0.0,0.0,0.0,
,0.061224489795918366,0.0,0.0,0.0,
,0.02040816326530612,0.0,0.0,0.0,
03-02,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.04081632653061224,0.0,0.0,0.0,
01-27,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,,0.0,0.0,0.04081632653061224,
,0.0,0.0,0.0,0.0,
01-31,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.061224489795918366,
,0.0,0.0,0.0,0.061224489795918366,
,0.0,0.0,0.3469387755102041,0.061224489795918366,
03-06,0.0,0.0,0.2857142857142857,0.061224489795918366,
,0.12244897959183673,0.0,0.10204081632653061,0.0,
,0.08163265306122448,0.0,0.04081632653061224,0.02040816326530612,
,0.08163265306122448,0.0,0.04081632653061224,0.02040816326530612,
05-24,0.02040816326530612,0.0,0.04081632653061224,0.061224489795918366,
,0.061224489795918366,0.0,0.0,0.04081632653061224,
,0.04081632653061224,0.02040816326530612,0.0,0.04081632653061224,
,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.04081632653061224,
02-11,0.04081632653061224,0.0,0.0,0.02040816326530612,
,0.0,0.04081632653061224,0.0,0.0,
,0.0,0.04081632653061224,0.0,0.0,
,0.0,0.04081632653061224,0.0,0.0,
04-25,0.0,0.0,0.0,0.02040816326530612,
,0.02040816326530612,0.0,0.0,0.0,
,0.061224489795918366,0.04081632653061224,0.6530612244897959,0.0,
,0.04081632653061224,0.02040816326530612,0.673469387755102,0.0,
12-24,0.04081632653061224,0.02040816326530612,0.5102040816326531,0.0,
